Date,Open,High,Low,Close,Adj Close,Volume
2024-03-04,74300.0,75000.0,74000.0,74900.0,74900.0,23210474
2024-03-05,74600.0,74800.0,73700.0,73700.0,73700.0,19505125
2024-03-06,73200.0,73500.0,72700.0,72900.0,72900.0,21547905
2024-03-07,73100.0,73300.0,72200.0,72200.0,72200.0,14516963
2024-03-08,72800.0,73400.0,72600.0,73300.0,73300.0,19271349
2024-03-11,72900.0,73100.0,72300.0,72400.0,72400.0,9740504
2024-03-12,72600.0,73500.0,72100.0,73300.0,73300.0,13011654
2024-03-13,73700.0,74100.0,73500.0,74100.0,74100.0,15243134
2024-03-14,74400.0,74500.0,73600.0,74300.0,74300.0,22545539
2024-03-15,73400.0,73700.0,72300.0,72300.0,72300.0,22580555
2024-03-18,72600.0,73000.0,72500.0,72800.0,72800.0,11520348
2024-03-19,72300.0,73000.0,71700.0,72800.0,72800.0,15376066
2024-03-20,73700.0,77200.0,73400.0,76900.0,76900.0,50106297
2024-03-21,79200.0,79300.0,77700.0,79300.0,79300.0,44569799
2024-03-22,79600.0,79900.0,77800.0,78900.0,78900.0,26724761
2024-03-25,79600.0,79800.0,77800.0,78200.0,78200.0,18703996
2024-03-26,79700.0,80100.0,79200.0,79900.0,79900.0,30551494
2024-03-27,79200.0,80000.0,79200.0,79800.0,79800.0,17424595
2024-03-28,79400.0,81000.0,79200.0,80800.0,80800.0,25084812
2024-03-29,81200.0,82500.0,80900.0,82400.0,82400.0,27126366
2024-04-01,83200.0,83300.0,82000.0,82000.0,82000.0,20116513
2024-04-02,82900.0,85000.0,82900.0,85000.0,85000.0,37077944
2024-04-03,84300.0,85000.0,83500.0,84100.0,84100.0,30493347
2024-04-04,85200.0,85500.0,84300.0,85300.0,85300.0,25248934
2024-04-05,84500.0,85000.0,83800.0,84500.0,84500.0,18883752
2024-04-08,85200.0,86000.0,84500.0,84500.0,84500.0,18953232
2024-04-09,84500.0,84900.0,83100.0,83600.0,83600.0,23725956
2024-04-11,83200.0,84700.0,82500.0,84100.0,84100.0,25538009
2024-04-12,84700.0,84900.0,83200.0,83700.0,83700.0,17061770
2024-04-15,82900.0,83200.0,81200.0,82200.0,82200.0,26663772
2024-04-16,81200.0,81300.0,79400.0,80000.0,80000.0,31949845
2024-04-17,80700.0,80800.0,78900.0,78900.0,78900.0,22611631
2024-04-18,78800.0,80100.0,78300.0,79600.0,79600.0,21370190
2024-04-19,78300.0,78700.0,76300.0,77600.0,77600.0,31317563
2024-04-22,77400.0,77500.0,75100.0,76100.0,76100.0,30469477
2024-04-23,76400.0,76800.0,75500.0,75500.0,75500.0,18717699
2024-04-24,77500.0,78800.0,77200.0,78600.0,78600.0,22166150
2024-04-25,77300.0,77500.0,76300.0,76300.0,76300.0,15549134
2024-04-26,77800.0,77900.0,76500.0,76700.0,76700.0,12755629
2024-04-29,77400.0,77600.0,76200.0,76700.0,76700.0,14664474
